	Col-1	Col-2	Col-3
CDK4	-0.792803571	0.527687127	0.000622536
LMTK3	0.17762054	-0.016061489	5.422113833
LRRK2	-0.697876151	-0.555610265	-0.360497559
UHMK1	0.850546518	-0.263279907	0.179253031
EGFR	1.412416216	0.018987506	0.902251622
STK32A	-0.388039665	-0.592626614	-0.24413651
NRK	1.408537135	-0.017369325	-0.367127962
ERBB2	0.906642406	-0.684771423	0.015261254
ERBB4	-0.452907052	-0.392790536	-0.374173515
AAK1	3.579051735	0.92330807	-0.651094367
SRPK3	-0.582761335	-0.706379425	0.364313301
STK39	-0.58688791	-0.186685902	-3.51852921
GRK4	-0.693639785	-0.357559299	-0.903861262
TBK1	0.327203594	0.857319301	-1.397356596
INSRR	0.331108191	-0.467978397	0.681112329
IRAK1	0.141183837	0.788608352	0.51421388
KDR	-0.524309949	-0.285994749	-0.484871681
NPR1	0.509592174	0.464774315	0.275495704
PAK3	-0.554447111	-0.145753485	0.019807701
PDGFRA	-0.530831743	-0.260873607	-0.461134617
PDK4	-0.643246331	0.052021433	-0.735006626
ULK4	-0.693868027	0.57619653	-0.488541037
PRKCE	0.006531886	0.564826732	3.695318524
PRKG2	-0.185695405	-0.173758799	0.084357105
MAPK4	0.184462349	-0.526037871	0.432087272
MAPK11	1.760301448	-0.912259652	-1.163345889
STK31	-0.07364355	-0.103789279	-0.171304836
GRK1	-0.751526741	0.49762292	-0.142534658
ROS1	-0.31236414	0.701257089	0.47520812
MAP2K4	0.11931136	0.593670684	0.489152771
SRC	-0.294263824	-0.618071649	-0.252534114
TGFBR1	-0.000863802	0.735638383	-0.680289747
CAMK2B	-0.276736819	-0.426080887	-0.160160461
STK24	-0.31807579	-0.814110809	0.646545188
DCLK3	-0.670177714	3.224533501	0.145509552
LATS1	-0.695252888	4.299877134	-0.175587126
NEK9	-0.337849025	-0.535265918	0.803160459
MYLK3	-0.368173217	0.209192446	0.266317555
