	Col-1	Col-2	Col-3	Col-4	Col-5	Col-6	Col-7	Col-8	Col-9
CDK4	-0.792803571	0.527687127	0.000622536	0.356722594	0.933286088	-0.131728538	0.808451944	4.240884801	-0.540231391
LMTK3	0.17762054	-0.016061489	5.422113833	1.307039675	0.355814985	0.276904994	0.483153915	-0.240495821	1.336445996
LRRK2	-0.697876151	-0.555610265	-0.360497559	-0.460236731	-0.680760697	-0.169463518	1.715708875	-0.517104823	0.184987709
UHMK1	0.850546518	-0.263279907	0.179253031	0.398646721	1.537663802	0.505291411	0.902366491	-0.16628803	0.630730564
EGFR	1.412416216	0.018987506	0.902251622	-0.17813747	0.781819022	0.211815895	-0.023427175	3.557295952	1.173783556
STK32A	-0.388039665	-0.592626614	-0.24413651	0.740364734	3.023348415	-0.433985412	-0.630124457	1.156531983	0.433696213
NRK	1.408537135	-0.017369325	-0.367127962	0.313253548	-0.16288686	0.027411933	-0.281351556	5.813846489	-0.161706584
ERBB2	0.906642406	-0.684771423	0.015261254	0.16056792	0.365002113	-0.564392699	0.169072827	-0.035192496	-0.031210405
ERBB4	-0.452907052	-0.392790536	-0.374173515	-0.527418493	-0.320103334	-0.560657219	-0.312847509	-0.463903623	-0.304652329
AAK1	3.579051735	0.92330807	-0.651094367	0.952743833	-0.212733397	0.006074527	-0.121038246	0.083769063	-0.722678214
SRPK3	-0.582761335	-0.706379425	0.364313301	-0.483011414	-0.71307719	-0.048548064	-0.527944549	0.337501769	-0.656781635
STK39	-0.58688791	-0.186685902	-3.51852921	0.250628834	-0.477773537	-0.62381107	-0.92202388	-0.55383453	0.018847867
GRK4	-0.693639785	-0.357559299	-0.903861262	-0.810450279	0.293775461	1.012469252	-0.1044623	-0.573757161	-0.629467998
TBK1	0.327203594	0.857319301	-1.397356596	-0.226683585	-0.986051455	0.438343505	0.095527129	5.598772308	0.535025797
INSRR	0.331108191	-0.467978397	0.681112329	-1.195914121	-0.538461957	3.616542204	0.094919881	0.527357553	-0.160478312
IRAK1	0.141183837	0.788608352	0.51421388	0.528255597	0.906234597	0.050158065	-0.843341382	1.44384296	-0.253699343
KDR	-0.524309949	-0.285994749	-0.484871681	0.176655189	-0.139711627	-0.352978397	-0.192529854	-0.601257973	-0.427323427
NPR1	0.509592174	0.464774315	0.275495704	-0.01882253	-0.005537792	-0.457197866	3.408253083	-0.430407643	-0.754186082
PAK3	-0.554447111	-0.145753485	0.019807701	-0.634915727	-0.493766887	-0.587644968	-0.223714996	1.385049476	-0.346100755
PDGFRA	-0.530831743	-0.260873607	-0.461134617	-0.389056188	-0.512555424	-0.513202268	-0.337550397	-0.449953768	-0.184845421
